id,clap_embedding,clap_status,clap_error
46d4e5a0-102e-4b3f-9e75-96e1c2b17fec,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3c331eaf-514c-4b20-b394-6037ab946921,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c2ffc36d-0bc8-4fa5-8d61-2b125f410262,,failed,[Errno 2] No such file or directory: 'ffmpeg'
38b44438-40e0-4009-8084-e3ec2c03859c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4325ec54-c092-40d6-acfe-bcd29f271fa9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0492878a-ed36-437f-bf8c-126573eeb0d9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
b82e2bfc-9de1-4137-8e9b-7a94d18385f5,,failed,[Errno 2] No such file or directory: 'ffmpeg'
31e7e1a4-7da1-44eb-8940-4f1f467ea47f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
06f68473-c18c-4001-8a4a-c505a81102f4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
846aa572-5f33-48a4-a067-f1295ee6f172,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f44c7793-4c52-419c-a5dc-65c0d991b764,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6ef133aa-a8a8-48cf-a4c5-7b05e8b7f417,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0012d176-c941-4c93-96cb-a710b0790c55,,failed,[Errno 2] No such file or directory: 'ffmpeg'
5bd94a8e-f1a0-40ca-9185-1968327a8585,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f40ee37b-eddb-4c63-bdd9-d99c74f0568c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
beea320e-4f29-4aa9-b2f2-58bec3486666,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8d0a86a2-4fbb-4c36-95b3-ea0c94bb785e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a2be19ed-9931-4146-8e01-93ff60575f65,,failed,[Errno 2] No such file or directory: 'ffmpeg'
17cd6366-8d99-4903-8c05-c22df28e93e2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
fa059a86-423c-40fe-8438-57924ad3789e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
578b159f-0d0a-4026-8748-3aaec6b4f628,,failed,[Errno 2] No such file or directory: 'ffmpeg'
188e67a3-5cb1-4337-886c-b9052556867e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a5955f32-7a93-4445-8ad0-e75e42b5afc8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
af180310-400b-4ccc-bb2f-f25caff7d65d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
